id,geo_id,vaccine_id,FirstDose,SecondDose,NumberDosesReceived,week_start
240,26,3,195774,47652,176670,2021-01-15
241,26,4,2,0,42000,2021-01-15
242,27,1,1,0,0,2021-01-15
243,27,3,119835,30622,47970,2021-01-15
244,27,4,1506,1,0,2021-01-15
245,29,3,97671,9874,66300,2021-01-15
246,29,4,5069,0,0,2021-01-15
247,30,3,4010,10162,9360,2021-01-15
248,30,4,512,0,1200,2021-01-15
249,31,1,0,0,0,2021-01-15
250,31,3,36478,2688,46800,2021-01-15
251,31,4,0,0,0,2021-01-15
252,0,1,0,0,0,2021-01-22
253,0,3,26618,16866,54990,2021-01-22
254,0,4,3695,0,0,2021-01-22
255,1,3,63325,24407,78390,2021-01-22
256,1,4,1667,0,13200,2021-01-22
257,2,3,6298,8474,14040,2021-01-22
258,2,4,210,0,3600,2021-01-22
259,4,3,4213,3082,8190,2021-01-22
260,4,4,140,0,1200,2021-01-22
261,5,3,42599,27467,73710,2021-01-22
262,5,4,1046,0,0,2021-01-22
263,6,3,330076,331650,489060,2021-01-22
264,6,4,14074,0,90000,2021-01-22
265,7,3,4584,61011,73710,2021-01-22
266,7,4,4,2,0,2021-01-22
267,9,3,8187,8035,11700,2021-01-22
268,9,4,4,0,1200,2021-01-22
269,10,3,75574,35789,104130,2021-01-22
270,11,3,83032,285297,422370,2021-01-22
271,11,4,3804,0,NULL,2021-01-22
272,13,1,0,0,NULL,2021-01-22
273,13,3,37189,14124,40950,2021-01-22
274,13,4,2361,0,6000,2021-01-22
275,13,6,0,0,NULL,2021-01-22
276,14,1,0,0,0,2021-01-22
277,14,3,504617,54666,561600,2021-01-22
278,14,4,18170,0,74600,2021-01-22
279,14,6,0,0,NULL,2021-01-22
280,15,1,2,0,NULL,2021-01-22
281,15,3,2520,12266,11700,2021-01-22
282,15,4,83,0,4800,2021-01-22
283,15,6,121,244,NULL,2021-01-22
284,16,3,88835,58141,72540,2021-01-22
285,16,4,254,26,10800,2021-01-22
286,17,3,5715,46021,32760,2021-01-22
287,17,4,0,0,6000,2021-01-22
288,18,3,245,32,3510,2021-01-22
289,18,4,0,0,1200,2021-01-22
290,19,3,25794,527381,465660,2021-01-22
291,19,4,4096,0,0,2021-01-22
292,20,3,12800,12316,25116,2021-01-22
293,20,4,1,0,1,2021-01-22
294,21,3,4068,435,2340,2021-01-22
295,21,4,212,0,1200,2021-01-22
296,22,3,193,4501,0,2021-01-22
297,22,4,22,0,2400,2021-01-22
298,23,3,5228,2538,NULL,2021-01-22
299,24,1,0,0,0,2021-01-22
300,24,3,155503,15943,191880,2021-01-22
301,24,4,8517,0,19200,2021-01-22
302,24,6,0,0,0,2021-01-22
303,25,6,27352,17707,43440,2021-01-22
304,26,1,0,0,0,2021-01-22
305,26,3,312650,154763,365040,2021-01-22
306,26,4,4381,0,0,2021-01-22
307,27,3,41214,41322,99450,2021-01-22
308,27,4,505,0,10800,2021-01-22
309,28,3,586514,106470,926370,2021-01-22
310,28,4,0,0,36000,2021-01-22
311,29,3,60552,24802,67275,2021-01-22
312,29,4,2748,0,0,2021-01-22
